"nid","title","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao","field_ramo_de_atuacao"
2647,"E.R SOLUCOES INFORMÁTICA LTDA","Audiovisual","Eletrodomésticos","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2648,"MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA","Eletrodomésticos","Ferragens e ferramentas","Material elétrico","Material hidráulico","Material para construção","Material para pintura","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)","Serviço de serralheria","Vidraçaria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,"alb da fonseca epp","Gêneros alimentícios","Limpeza e higiene","Médico-hospitalar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,"ANTONIO CARLOS DIAS DA CONCEIÇÃO ME","Carimbos","Chaveiro","Comunicação visual (banners, faixas, sinalização e placas de identificação)","Serviço gráfico (afiação de faca gráfica)","Uniformes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2651,"Intravideo Produtos e SErviços Ltda","Serviço de áudio e vídeo","Tradução de textos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2652,"POLOS DISTRIBUIDORA DE COMPONENTES ELETRONICOS E VARIEDADES LTDA","Material elétrico","Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2653,"RODRIGUES & OLIVEIRA EQUIPAMENTOS HOTELEIROS LTDA","Copa e cozinha","Eletrodomésticos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654,"NHS Sistemas Eletrônicos Ltda","Informática (acessórios e equipamentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2655,"INOVAMAX TELEINFORMATICA LIMITADA","Audiovisual","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2656,"COMPUSET INFORMATICA LTDA - ME","Audiovisual","Material de escritório e desenho (papelaria)","Informática (acessórios e equipamentos)","Informática (softwares)","Informática (suprimentos)","Telecomunicações",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
