nid,title,ramo
2641,Comércio de Materiais para Construção Parque Rio Pequeno Ltda,Ferragens e ferramentas
2641,Comércio de Materiais para Construção Parque Rio Pequeno Ltda,Material elétrico
2641,Comércio de Materiais para Construção Parque Rio Pequeno Ltda,Material hidráulico
2641,Comércio de Materiais para Construção Parque Rio Pequeno Ltda,Material para construção
2641,Comércio de Materiais para Construção Parque Rio Pequeno Ltda,Material para pintura
2642,EUNICE DE QUEIROZ MORAES OSASCO ME,Vidraçaria
2643,Artline Indústria e Comércio de Móveis Ltda,Mobiliário
2644,Diamantools Comércio e Serviços Ltda.-EPP,Informática (acessórios e equipamentos)
2644,Diamantools Comércio e Serviços Ltda.-EPP,Telecomunicações
2645,AIHA importação e Exportação Ltda.,Material elétrico
2646,TURISMO LUVERAN LTDA,Transportes
2647,E.R SOLUCOES INFORMÁTICA LTDA,Audiovisual
2647,E.R SOLUCOES INFORMÁTICA LTDA,Eletrodomésticos
2647,E.R SOLUCOES INFORMÁTICA LTDA,Informática (acessórios e equipamentos)
2647,E.R SOLUCOES INFORMÁTICA LTDA,Informática (softwares)
2647,E.R SOLUCOES INFORMÁTICA LTDA,Informática (suprimentos)
2647,E.R SOLUCOES INFORMÁTICA LTDA,Telecomunicações
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,Eletrodomésticos
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,Ferragens e ferramentas
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,Material elétrico
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,Material hidráulico
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,Material para construção
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,Material para pintura
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,Serviço de serralheria
2648,MAKTUB COMERCIO DE MATERIAIS EM GERAL LTDA,Vidraçaria
2649,alb da fonseca epp,Gêneros alimentícios
2649,alb da fonseca epp,Limpeza e higiene
2649,alb da fonseca epp,Médico-hospitalar
2650,ANTONIO CARLOS DIAS DA CONCEIÇÃO ME,Carimbos
2650,ANTONIO CARLOS DIAS DA CONCEIÇÃO ME,Chaveiro
2650,ANTONIO CARLOS DIAS DA CONCEIÇÃO ME,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2650,ANTONIO CARLOS DIAS DA CONCEIÇÃO ME,Serviço gráfico (afiação de faca gráfica)
2650,ANTONIO CARLOS DIAS DA CONCEIÇÃO ME,Uniformes
2651,Intravideo Produtos e SErviços Ltda,Serviço de áudio e vídeo
2651,Intravideo Produtos e SErviços Ltda,Tradução de textos
2652,POLOS DISTRIBUIDORA DE COMPONENTES ELETRONICOS E VARIEDADES LTDA,Material elétrico
2652,POLOS DISTRIBUIDORA DE COMPONENTES ELETRONICOS E VARIEDADES LTDA,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2653,RODRIGUES & OLIVEIRA EQUIPAMENTOS HOTELEIROS LTDA,Copa e cozinha
2653,RODRIGUES & OLIVEIRA EQUIPAMENTOS HOTELEIROS LTDA,Eletrodomésticos
2654,NHS Sistemas Eletrônicos Ltda,Informática (acessórios e equipamentos)
2655,INOVAMAX TELEINFORMATICA LIMITADA,Audiovisual
2655,INOVAMAX TELEINFORMATICA LIMITADA,Informática (acessórios e equipamentos)
2655,INOVAMAX TELEINFORMATICA LIMITADA,Informática (softwares)
2655,INOVAMAX TELEINFORMATICA LIMITADA,Informática (suprimentos)
2656,COMPUSET INFORMATICA LTDA - ME,Audiovisual
2656,COMPUSET INFORMATICA LTDA - ME,Material de escritório e desenho (papelaria)
2656,COMPUSET INFORMATICA LTDA - ME,Informática (acessórios e equipamentos)
2656,COMPUSET INFORMATICA LTDA - ME,Informática (softwares)
2656,COMPUSET INFORMATICA LTDA - ME,Informática (suprimentos)
2656,COMPUSET INFORMATICA LTDA - ME,Telecomunicações
2657,NEW MASTER TINTAS LTDA EPP,Material para construção
2657,NEW MASTER TINTAS LTDA EPP,Material para pintura
2658,EXITO MONTAGENS E COMERCIO LTDA,Informática (suprimentos)
3853,Cross do Brasil Soluções e tecnologia Eireli - EPP,Telecomunicações
2660,COMAG COMÉRCIO DE FERRAMENTAS DORES DE CAMPOS LTDA,Ferragens e ferramentas
2660,COMAG COMÉRCIO DE FERRAMENTAS DORES DE CAMPOS LTDA,Madeiras
2660,COMAG COMÉRCIO DE FERRAMENTAS DORES DE CAMPOS LTDA,Material elétrico
2660,COMAG COMÉRCIO DE FERRAMENTAS DORES DE CAMPOS LTDA,Material hidráulico
2660,COMAG COMÉRCIO DE FERRAMENTAS DORES DE CAMPOS LTDA,Material para construção
2660,COMAG COMÉRCIO DE FERRAMENTAS DORES DE CAMPOS LTDA,Material para pintura
2660,COMAG COMÉRCIO DE FERRAMENTAS DORES DE CAMPOS LTDA,Segurança e proteção
2661,Comercial de Gas Oeste Ltda,"Combustíveis, gases e lubrificantes"
2662,FIANGRAF DISTRIBUIDORA DE PRODUTOS GRÁFICOS LTDA,Audiovisual
2662,FIANGRAF DISTRIBUIDORA DE PRODUTOS GRÁFICOS LTDA,Informática (suprimentos)
2662,FIANGRAF DISTRIBUIDORA DE PRODUTOS GRÁFICOS LTDA,Material e equipamento gráfico
2662,FIANGRAF DISTRIBUIDORA DE PRODUTOS GRÁFICOS LTDA,Produtos químicos
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Audiovisual
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Chaveiro
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,"Combustíveis, gases e lubrificantes"
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,"Comunicação visual (banners, faixas, sinalização e placas de identificação)"
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Eletrodomésticos
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Ferragens e ferramentas
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Impressão gráfica
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Informática (acessórios e equipamentos)
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Informática (softwares)
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Informática (suprimentos)
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Limpeza e higiene
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Madeiras
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Material de escritório e desenho (papelaria)
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,"Material descartável (copo, guardanapo, papel toalha, papel higiênico e outros)"
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Material e equipamento de laboratório
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Material e equipamento gráfico
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Material elétrico
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Material hidráulico
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Material para construção
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Material para pintura
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Mobiliário
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Papéis e cartões
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,"Plantas, mudas e insumos"
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Segurança e proteção
2663,MP DISTRIBUIDORA DE MATERIAIS LTDA EPP,Uniformes
2664,MUNDO ELETRICO ENGECAP LTDA,Ferragens e ferramentas
2664,MUNDO ELETRICO ENGECAP LTDA,Material elétrico
2664,MUNDO ELETRICO ENGECAP LTDA,Material hidráulico
2664,MUNDO ELETRICO ENGECAP LTDA,Material para pintura
2665,S. L. GONÇALVES CADEIRAS EPP,Mobiliário
2666,CASA PEDROSO MATERIAIS PARA CONSTRUÇÃO LTDA-EPP,Ferragens e ferramentas
2666,CASA PEDROSO MATERIAIS PARA CONSTRUÇÃO LTDA-EPP,Material elétrico
2666,CASA PEDROSO MATERIAIS PARA CONSTRUÇÃO LTDA-EPP,Material hidráulico
2666,CASA PEDROSO MATERIAIS PARA CONSTRUÇÃO LTDA-EPP,Material para construção
2666,CASA PEDROSO MATERIAIS PARA CONSTRUÇÃO LTDA-EPP,Material para pintura
